ntaname,Afghan,African (General),American,Arabic,Argentine,Armenian,Asian Fusion,Australian,Austrian,Bangladeshi,Basque,Belgian,Brazilian,British,Burmese,Cajun/Creole,Cambodian,Cantonese,Caribbean (General),Catalan,Chinese,Colombian,Cuban,Czech,Dominican,Egyptian,Eritrean,Ethiopian,Filipino,French,Georgian,German,Greek,Hainan,Haitian,Hawaiian,Himalayan/Nepalese,Honduran,Hungarian,Iberian,Indian,Indonesian,Irish,Italian,Japanese,Korean,Laotian,Latin American (General),Lebanese,Malaysian,Mediterranean,Mexican,Middle Eastern (General),Modern European,Mongolian,Moroccan,New American,New Mexican Cuisine,Pakistani,Pan Asian,Persian/Iranian,Peruvian,Polish,Portuguese,Puerto Rican,Russian,Salvadoran,Sardinian,Scandinavian,Scottish,Senegalese,Shanghainese,Sicilian,Singaporean,Slovakian,Soul Food,South African,Southern,Spanish,Sri Lankan,Syrian,Szechuan,Taiwanese,Tex-Mex,Thai,Trinidadian,Turkish,Tuscan,Ukrainian,Uzbek,Venezuelan,Vietnamese,highest_category
Airport,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,American
Allerton-Pelham Gardens,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Annadale-Huguenot-Prince's Bay-Eltingville,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Italian
Arden Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Astoria,2,2,24,0,0,0,4,0,0,1,0,0,6,0,0,2,0,0,1,0,22,9,2,0,1,4,0,0,0,0,0,1,11,1,0,3,1,0,0,0,9,0,2,21,12,8,0,13,2,0,19,43,18,5,0,3,17,2,2,1,0,7,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,5,0,0,1,0,0,15,0,4,0,0,0,2,3,Mexican
Auburndale,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,13,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Korean
Baisley Park,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Caribbean (General)
Bath Beach,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,0,1,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Chinese
Battery Park City-Lower Manhattan,1,1,27,0,0,0,11,1,1,1,0,1,1,1,0,2,0,1,0,0,17,0,2,0,0,0,0,0,0,10,0,0,7,0,0,5,0,0,0,0,13,0,5,35,16,8,0,0,2,1,17,27,4,0,0,0,29,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,3,7,0,0,1,1,1,1,5,Italian
Bay Ridge,0,0,14,2,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,26,1,0,0,0,0,0,0,0,0,2,1,6,0,0,1,0,0,0,0,5,0,2,23,15,1,0,4,1,0,9,14,21,1,0,0,13,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,8,0,6,0,0,1,0,3,Chinese
Bayside-Bayside Hills,0,0,9,0,0,1,5,0,0,0,0,0,0,0,0,1,0,2,0,0,22,2,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,2,0,0,11,7,15,0,1,0,0,8,5,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,5,1,4,0,1,0,0,0,0,2,Chinese
Bedford,0,2,10,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,9,0,14,0,1,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,3,0,0,5,1,3,0,3,0,0,0,10,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,3,0,0,0,0,0,3,2,1,0,0,0,1,1,Chinese
Bedford Park-Fordham North,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Mexican
Bellerose,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,1,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Indian
Belmont,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,2,0,0,2,0,0,4,10,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,Italian
Bensonhurst East,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,7,1,0,0,0,2,6,12,2,2,0,0,2,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,3,0,2,Mexican
Bensonhurst West,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,55,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,13,12,2,0,1,0,3,0,18,0,1,0,0,2,0,0,0,0,2,1,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,2,0,1,0,0,1,0,1,Chinese
Borough Park,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,0,2,0,0,0,10,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Chinese
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,1,0,0,1,2,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,American
Briarwood-Jamaica Hills,0,0,2,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,1,0,9,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,2,0,0,4,0,0,0,6,1,0,0,0,0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,Bangladeshi
Brighton Beach,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,2,3,5,2,0,0,2,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,4,0,0,Russian
Bronxdale,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Mexican
Brooklyn Heights-Cobble Hill,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,11,2,1,0,0,0,0,1,5,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,3,Italian
Brownsville,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Caribbean (General)
Bushwick North,0,2,11,0,0,0,5,0,0,1,0,0,0,0,0,3,0,0,1,0,22,0,1,0,6,0,0,1,1,2,0,0,2,0,0,0,0,2,0,0,2,0,0,8,5,3,0,23,1,0,2,47,1,0,0,0,13,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,9,0,3,0,0,0,3,3,Mexican
Bushwick South,0,2,14,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,2,0,14,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,8,5,0,0,3,0,0,4,24,3,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,4,0,0,0,0,0,0,2,Mexican
Cambria Heights,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Caribbean (General)
Canarsie,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,24,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Caribbean (General)
Carroll Gardens-Columbia Street-Red Hook,0,1,8,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,1,0,1,0,0,1,1,4,0,0,1,0,0,2,0,0,0,0,1,0,0,22,5,1,0,2,2,0,3,9,4,1,0,1,8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,8,0,1,0,0,0,1,0,Italian
Central Harlem North-Polo Grounds,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,20,0,1,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,0,0,3,0,0,0,4,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,Caribbean (General)
Central Harlem South,0,3,9,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,6,0,9,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,2,0,0,0,0,0,3,6,1,0,0,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,4,3,0,0,1,0,0,2,0,0,0,0,0,0,0,American
Charleston-Richmond Valley-Tottenville,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Italian
Chinatown,0,0,9,0,1,0,13,1,1,0,1,1,1,0,0,2,1,20,6,0,105,0,1,0,2,0,0,0,2,8,0,2,4,0,1,0,0,0,0,0,4,0,0,16,30,7,0,6,1,4,7,17,3,1,0,2,26,1,1,2,0,2,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,5,5,2,12,0,1,0,1,0,1,13,Chinese
Claremont-Bathgate,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Chinese
Clinton,1,0,24,0,1,0,11,0,0,0,0,0,3,0,0,4,0,3,5,0,27,0,3,0,1,1,0,2,2,8,1,0,3,0,1,2,0,0,0,0,11,0,4,53,27,12,0,8,0,0,20,28,7,0,0,1,39,2,2,2,0,4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,2,3,4,14,0,7,1,1,0,0,2,Italian
Clinton Hill,0,3,7,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,3,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,7,3,2,0,1,0,0,2,7,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,New American
Co-op City,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Chinese
College Point,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Chinese
Corona,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,9,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Mexican
Crotona Park East,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Crown Heights North,0,3,13,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,50,0,23,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,9,4,1,0,2,0,0,1,9,3,0,0,0,9,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,4,4,0,0,1,0,0,6,2,0,0,0,0,1,2,Caribbean (General)
Crown Heights South,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caribbean (General)
Cypress Hills-City Line,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,11,0,0,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Latin American (General)
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,6,0,14,1,5,0,2,0,0,0,0,8,0,4,1,0,1,1,0,0,0,0,3,0,0,19,13,8,0,7,1,0,9,15,5,1,0,1,13,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,0,0,3,1,1,12,0,0,0,0,0,0,3,Italian
Douglas Manor-Douglaston-Little Neck,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,6,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,Italian
Dyker Heights,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Chinese
East Concourse-Concourse Village,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,7,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
East Elmhurst,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Latin American (General)
East Flatbush-Farragut,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Caribbean (General)
East Flushing,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,Chinese
East Harlem North,0,2,6,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,7,0,15,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,0,9,2,1,0,7,0,0,0,28,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,Mexican
East Harlem South,0,2,7,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,5,0,18,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,5,1,2,0,8,0,0,1,24,1,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,2,6,0,0,0,0,0,0,1,Mexican
East New York,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,Chinese
East New York (Pennsylvania Ave),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
East Tremont,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
East Village,0,3,21,0,2,0,13,1,0,1,0,0,2,1,1,0,0,3,1,0,18,0,1,0,1,0,0,2,1,8,0,1,4,0,0,2,2,0,0,0,18,0,2,49,56,17,1,4,4,2,20,32,12,3,0,1,31,1,0,1,0,2,1,2,1,0,0,0,1,0,0,2,0,0,0,2,0,4,5,1,0,8,8,2,18,0,1,0,3,0,1,14,Japanese
East Williamsburg,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,7,2,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,17,7,2,0,10,1,0,5,14,4,0,0,0,5,0,1,0,1,2,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,2,0,0,1,3,1,4,0,1,0,0,0,1,2,Italian
Eastchester-Edenwald-Baychester,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caribbean (General)
Elmhurst,0,0,4,0,4,0,2,0,0,1,0,0,2,0,1,1,0,2,0,0,37,12,0,0,3,0,0,0,5,0,0,0,0,1,0,1,7,1,0,0,3,3,0,7,7,0,0,20,0,2,2,32,3,0,0,0,4,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,14,0,0,0,0,0,0,1,Chinese
Elmhurst-Maspeth,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,3,0,0,15,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,3,0,1,0,6,3,0,1,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,9,0,0,0,0,0,1,5,Chinese
Erasmus,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Caribbean (General)
