ntaname,Afghan,African (General),American,Arabic,Argentine,Armenian,Asian Fusion,Australian,Austrian,Bangladeshi,Basque,Belgian,Brazilian,British,Burmese,Cajun/Creole,Cambodian,Cantonese,Caribbean (General),Catalan,Chinese,Colombian,Cuban,Czech,Dominican,Egyptian,Eritrean,Ethiopian,Filipino,French,Georgian,German,Greek,Hainan,Haitian,Hawaiian,Himalayan/Nepalese,Honduran,Hungarian,Iberian,Indian,Indonesian,Irish,Italian,Japanese,Korean,Laotian,Latin American (General),Lebanese,Malaysian,Mediterranean,Mexican,Middle Eastern (General),Modern European,Mongolian,Moroccan,New American,New Mexican Cuisine,Pakistani,Pan Asian,Persian/Iranian,Peruvian,Polish,Portuguese,Puerto Rican,Russian,Salvadoran,Sardinian,Scandinavian,Scottish,Senegalese,Shanghainese,Sicilian,Singaporean,Slovakian,Soul Food,South African,Southern,Spanish,Sri Lankan,Syrian,Szechuan,Taiwanese,Tex-Mex,Thai,Trinidadian,Turkish,Tuscan,Ukrainian,Uzbek,Venezuelan,Vietnamese,highest_category
Old Town-Dongan Hills-South Beach,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Italian
Ozone Park,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,3,1,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,Chinese
Park Slope-Gowanus,0,1,20,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,10,0,21,3,0,0,0,1,0,1,0,5,0,0,4,0,0,1,1,0,0,0,8,1,1,38,17,4,0,12,1,0,8,34,3,1,0,0,16,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,2,0,0,1,0,4,14,0,2,0,0,0,0,9,Italian
Parkchester,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,7,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Pelham Bay-Country Club-City Island,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,9,2,0,0,2,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,American
Pelham Parkway,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Chinese
Pomonok-Flushing Heights-Hillcrest,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Chinese
Port Richmond,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,15,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Mexican
Prospect Heights,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,5,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,0,0,4,7,2,0,1,0,0,4,8,1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,2,10,0,1,0,0,0,0,1,New American
Prospect Lefferts Gardens-Wingate,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,29,0,19,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,3,0,0,3,3,1,0,3,0,0,0,3,3,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,Caribbean (General)
Queens Village,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,15,0,0,0,2,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Queensboro Hill,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Chinese
Queensbridge-Ravenswood-Long Island City,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,5,0,1,0,2,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,4,0,0,4,2,0,0,5,0,0,4,7,1,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,Mexican
Rego Park,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,5,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,5,0,0,Chinese
Richmond Hill,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,14,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,2,0,0,0,7,0,0,1,7,1,0,0,0,1,0,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,Indian
Ridgewood,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,18,2,1,0,7,1,0,0,0,1,0,3,1,0,0,0,2,0,0,0,3,0,0,9,9,1,0,17,0,0,4,28,0,0,0,0,8,2,0,0,0,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,3,5,0,0,0,1,0,1,1,Mexican
Rosedale,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Caribbean (General)
Rossville-Woodrow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Italian
Rugby-Remsen Village,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Caribbean (General)
Schuylerville-Throgs Neck-Edgewater Park,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,8,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Seagate-Coney Island,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,American
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,1,6,4,4,5,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,1,3,0,0,Chinese
SoHo-TriBeCa-Civic Center-Little Italy,0,1,35,0,2,0,7,1,0,2,1,0,1,0,0,2,0,9,3,0,30,0,3,0,0,1,0,0,2,25,0,0,9,0,0,3,0,0,0,0,14,1,1,105,45,7,1,7,0,1,26,31,7,2,0,5,52,0,2,2,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,8,0,0,1,6,1,9,0,5,1,1,0,0,9,Italian
Soundview-Bruckner,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Mexican
Soundview-Castle Hill-Clason Point-Harding Park,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
South Jamaica,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Caribbean (General)
South Ozone Park,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,34,0,31,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,1,0,0,2,0,0,1,1,5,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,10,0,0,0,0,0,0,Caribbean (General)
Springfield Gardens North,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Springfield Gardens South-Brookville,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caribbean (General)
Spuyten Duyvil-Kingsbridge,0,0,9,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,2,0,8,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,5,0,0,2,0,0,0,12,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,1,Mexican
St. Albans,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Caribbean (General)
Stapleton-Rosebank,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,12,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,2,0,0,0,0,0,0,0,0,Mexican
Starrett City,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,American
Steinway,1,0,7,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,2,0,0,18,6,0,0,3,0,0,12,5,3,3,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,Greek
Stuyvesant Heights,0,2,4,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,9,0,12,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,4,1,0,0,6,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,2,5,0,0,0,0,1,2,0,0,0,0,0,1,0,Chinese
Stuyvesant Town-Cooper Village,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asian Fusion
Sunset Park East,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,1,0,98,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,5,2,0,4,0,3,0,23,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,7,1,1,0,1,0,0,0,0,6,Chinese
Sunset Park West,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,7,7,2,0,16,0,0,0,38,4,0,0,0,2,0,0,0,0,4,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,1,0,1,0,0,0,0,1,Mexican
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Italian
Turtle Bay-East Midtown,0,3,45,0,0,0,20,0,0,0,1,0,0,0,0,1,0,1,7,0,20,0,1,0,0,0,0,0,0,14,1,2,9,0,0,1,2,0,0,0,16,0,3,38,50,6,0,3,4,0,21,22,7,0,0,1,36,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,19,0,3,0,1,0,1,7,Japanese
University Heights-Morris Heights,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Latin American (General)
Upper East Side-Carnegie Hill,0,0,20,0,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,17,0,1,10,0,0,0,0,0,0,0,1,0,1,47,9,1,0,0,0,0,12,8,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,1,3,0,1,0,0,0,0,1,Italian
Upper West Side,0,0,25,0,0,0,11,0,0,0,0,1,0,0,1,0,0,6,2,0,21,0,2,0,3,0,0,0,0,9,1,0,5,0,0,1,0,0,0,0,11,0,2,31,12,3,0,4,0,2,16,21,8,0,0,0,14,0,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,0,0,8,1,0,9,0,0,0,0,0,0,6,Italian
Van Cortlandt Village,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Mexican
Van Nest-Morris Park-Westchester Square,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,7,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,2,7,7,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Washington Heights North,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,8,1,0,0,17,0,0,1,13,1,0,0,0,7,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Latin American (General)
Washington Heights South,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,14,1,3,0,14,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,10,0,0,0,18,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,1,1,Mexican
West Brighton,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Turkish
West Concourse,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,1,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Mexican
West Farms-Bronx River,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,Chinese
West New Brighton-New Brighton-St. George,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,2,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,Italian
West Village,0,0,39,0,1,0,16,2,2,0,0,2,1,4,0,1,0,1,3,0,19,1,3,0,0,2,0,1,2,37,3,1,6,0,0,4,0,0,0,0,15,0,2,94,39,12,0,4,2,1,30,43,14,5,0,1,77,1,0,0,0,1,0,1,0,2,0,0,1,0,0,3,0,1,0,1,0,4,4,0,0,4,0,4,14,0,3,3,0,0,1,6,Italian
Westchester-Unionport,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,9,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Chinese
Westerleigh,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,14,5,1,0,1,0,0,4,3,2,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,1,0,0,0,0,1,Italian
Whitestone,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,Italian
Williamsbridge-Olinville,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Caribbean (General)
Williamsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Latin American (General)
Windsor Terrace,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,3,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,0,1,Thai
Woodhaven,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,0,0,5,0,0,0,12,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,Chinese
Woodlawn-Wakefield,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Caribbean (General)
Woodside,0,0,3,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,10,4,0,0,2,0,0,0,16,0,0,0,0,0,0,0,10,0,0,0,3,0,2,2,2,1,0,12,0,0,0,13,0,0,0,0,3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,Filipino
Yorkville,0,0,6,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,1,0,4,0,1,26,12,1,0,3,1,0,4,14,2,0,0,1,12,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,1,0,0,0,3,Italian
park-cemetery-etc-Bronx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Japanese
park-cemetery-etc-Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Caribbean (General)
park-cemetery-etc-Manhattan,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New American
park-cemetery-etc-Queens,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,American
